,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_severity,crime_density,crime_risk_score
78,78,78,78,78,78,78,78,78,78,78,BADAR PUR,4,11,1,59,318,10,8,2116989.697,411,77.30357,28.49385,194.1435995,2.116989697,21.810000000000002,0.0001941435995566869,24.09102051515738
79,79,79,79,79,79,79,79,79,79,79,SUBHASH PLACE,10,15,1,54,590,5,26,885072.498,701,77.14412,28.68901,792.0255138,0.885072498,36.290000000000006,0.0007920255138240664,100.0
80,80,80,80,80,80,80,80,80,80,80,SUBZIMANDI,7,14,2,61,644,9,17,2975208.719,754,77.20774,28.66917,253.4275982,2.975208719,37.52,0.0002534275982672663,31.617904561173653
81,81,81,81,81,81,81,81,81,81,81,MAURICE NAGAR,2,31,0,31,469,38,10,6149745.104,581,77.20652,28.69251,94.47546039,6.149745104,35.11000000000001,9.447546039300038e-05,11.436838225098594
82,82,82,82,82,82,82,82,82,82,82,MANDIR MARG,5,24,4,50,817,68,15,9889059.631,983,77.20325,28.63857,99.40277809,9.889059631,56.54,9.940277808807159e-05,12.062426069294851
83,83,83,83,83,83,83,83,83,83,83,TUGLAK ROAD,3,15,0,67,595,17,8,6857849.293,705,77.21117,28.59827,102.8019091,6.857849293,34.96,0.00010280190915242384,12.493990503797574
84,84,84,84,84,84,84,84,84,84,84,LAJPAT NAGAR,1,7,0,15,160,8,8,1505936.692,199,77.24052,28.56843,132.1436692,1.505936692,11.409999999999998,0.0001321436691576408,16.219313188987737
85,85,85,85,85,85,85,85,85,85,85,KRISHNA NAGAR,7,13,2,14,133,25,4,1904048.824,198,77.28072,28.66699,103.9889301,1.904048824,15.510000000000002,0.00010398893006537736,12.644698434543194
86,86,86,86,86,86,86,86,86,86,86,SWARUP NAGAR,4,23,1,52,443,31,6,12088114.57,560,77.1562,28.75841,46.32649671,12.08811457,32.29,4.632649672181259e-05,5.3236934580232385
87,87,87,87,87,87,87,87,87,87,87,GREATER KAILASH,0,2,0,12,164,6,4,3793564.843,188,77.23278,28.5541,49.55760816,3.793564843,9.3,4.955760815500578e-05,5.73392558855364
88,88,88,88,88,88,88,88,88,88,88,VIKAS PURI,2,3,1,14,204,7,1,1247661.874,232,77.06834,28.62997,185.9478156,1.247661874,11.47,0.00018594781553772156,23.050457845319507
